query_id,category,model,first_tool,tool_correct,tool_in_any_of,param_score,latency_ms,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,cost_usd,error,justification
q01,clear_single,claude-opus-4-7,whoop_list_recoveries,true,true,4,2038,448,115,4607,0,0.022256,,Correct tool; date range is slightly broader than 'last night' but usable to capture most recent recovery.
q02,clear_single,claude-opus-4-7,whoop_list_sleep,true,true,4,2350,447,114,4607,0,0.022166,,"Correct tool with a one-night date range, though the specific dates are hardcoded rather than dynamically 'last night'; otherwise well-formed."
q03,clear_single,claude-opus-4-7,whoop_list_workouts,true,true,5,2379,449,114,4607,0,0.022195,,Correct tool with a plausible week-long date range.
q04,clear_single,claude-opus-4-7,calendar_list_events,true,true,5,2142,447,122,4607,0,0.022766,,Correct tool with proper full-day time range for today.
q05,clear_single,claude-opus-4-7,todoist_filter_tasks,true,true,5,3112,450,70,4607,0,0.018911,,Correct tool with exact 'today' filter query.
q01,clear_single,claude-sonnet-4-6,whoop_list_recoveries,true,true,4,2218,331,95,3492,0,0.003466,,Correct tool with a 1-day range covering last night; dates may not match true 'today' but logic is reasonable.
q02,clear_single,claude-sonnet-4-6,whoop_list_sleep,true,true,5,2070,330,95,3492,0,0.003463,,Correct tool with appropriate single-night date range covering last night.
q03,clear_single,claude-sonnet-4-6,whoop_list_workouts,true,true,4,5676,332,85,3492,0,0.003319,,"Correct tool with a plausible week range, though dates are hardcoded rather than dynamically 'this week'."
q04,clear_single,claude-sonnet-4-6,calendar_list_events,true,true,5,1954,330,95,3492,0,0.003463,,Correct tool with proper full-day time range for today.
q05,clear_single,claude-sonnet-4-6,todoist_filter_tasks,true,true,5,1562,332,57,3492,0,0.002899,,Correct tool with exact 'today' filter query.
q01,clear_single,claude-haiku-4-5-20251001,whoop_list_recoveries,true,true,4,1188,3822,95,0,0,0.004297,,"Correct tool with a reasonable 1-day range, though the specific dates are hardcoded rather than relative to today; acceptable approximation."
q02,clear_single,claude-haiku-4-5-20251001,whoop_list_sleep,true,true,4,1655,3821,94,0,0,0.004291,,"Correct tool with a one-night date range. Dates are hardcoded rather than relative to today, which may not reflect actual 'last night', but structure is right."
q03,clear_single,claude-haiku-4-5-20251001,whoop_list_workouts,true,true,5,1105,3823,97,0,0,0.004308,,Correct tool with a reasonable Mon-Sun weekly date range.
q04,clear_single,claude-haiku-4-5-20251001,calendar_list_events,true,true,5,1568,3821,103,0,0,0.004336,,Correct tool with full-day time range for today.
q05,clear_single,claude-haiku-4-5-20251001,todoist_filter_tasks,true,true,5,982,3823,57,0,0,0.004108,,Correct tool with exact 'today' filter query.
