running 44 cases × 3 tiers × 7 models
models: Opus 4.7, Sonnet 4.6, Haiku 4.5, GPT-5, GPT-5 Mini, Gemini 2.5 Pro, Gemini 2.5 Flash
  [Opus 4.7] small: skipping 27 cases
  [Opus 4.7        ] small  f02 ok  picked=gmail_get_thread
  [Opus 4.7        ] small  s02 ok  picked=gmail_search_threads
  [Opus 4.7        ] small  c02 miss picked=notion_search
  [Opus 4.7        ] small  f01 ok  picked=notion_fetch
  [Opus 4.7        ] small  c01 ok  picked=gmail_create_draft
  [Opus 4.7        ] small  c10 miss picked=gmail_search_threads
  [Opus 4.7        ] small  s01 ok  picked=notion_search
  [Opus 4.7        ] small  c03 miss picked=-
  [Opus 4.7        ] small  f03 ok  picked=calendar_get_event
  [Opus 4.7        ] small  l03 ok  picked=gmail_list_labels
  [Opus 4.7        ] small  u01 miss picked=notion_search
  [Opus 4.7        ] small  a01 ok  picked=calendar_suggest_time
  [Opus 4.7        ] small  l01 ok  picked=calendar_list_events
  [Opus 4.7        ] small  a02 ok  picked=notion_search
  [Opus 4.7        ] small  a06 ok  picked=gmail_search_threads
  [Opus 4.7        ] small  a09 ok  picked=notion_search
  [Opus 4.7        ] small  a10 ok  picked=notion_search
  [Opus 4.7] medium: skipping 10 cases
  [Opus 4.7        ] medium s04 ok  picked=slack_search_messages
  [Opus 4.7        ] medium s10 ok  picked=todoist_list_tasks
  [Opus 4.7        ] medium c02 miss picked=notion_search
  [Opus 4.7        ] medium s03 ok  picked=drive_search_files
  [Opus 4.7        ] medium s01 ok  picked=notion_search
  [Opus 4.7        ] medium s02 ok  picked=gmail_search_threads
  [Opus 4.7        ] medium s05 ok  picked=linear_search_issues
  [Opus 4.7        ] medium c01 ok  picked=gmail_create_draft
  [Opus 4.7        ] medium c05 ok  picked=slack_post_message
  [Opus 4.7        ] medium c09 ok  picked=todoist_create_task
  [Opus 4.7        ] medium f01 ok  picked=notion_fetch
  [Opus 4.7        ] medium c10 miss picked=gmail_search_threads
  [Opus 4.7        ] medium c04 miss picked=drive_search_files
  [Opus 4.7        ] medium f02 ok  picked=gmail_get_thread
  [Opus 4.7        ] medium c03 miss picked=calendar_suggest_time
  [Opus 4.7        ] medium f03 ok  picked=calendar_get_event
  [Opus 4.7        ] medium f04 ok  picked=drive_read_file_content
  [Opus 4.7        ] medium u03 ok  picked=todoist_complete_task
  [Opus 4.7        ] medium c06 ok  picked=linear_create_issue
  [Opus 4.7        ] medium u02 ok  picked=linear_update_issue
  [Opus 4.7        ] medium u01 miss picked=notion_search
  [Opus 4.7        ] medium l01 ok  picked=calendar_list_events
  [Opus 4.7        ] medium l03 ok  picked=gmail_list_labels
  [Opus 4.7        ] medium l02 ok  picked=drive_list_recent_files
  [Opus 4.7        ] medium l04 ok  picked=slack_list_channels
  [Opus 4.7        ] medium a01 ok  picked=calendar_suggest_time
  [Opus 4.7        ] medium a03 miss picked=slack_list_channels
  [Opus 4.7        ] medium a06 ok  picked=gmail_search_threads
  [Opus 4.7        ] medium a04 ok  picked=todoist_create_task
  [Opus 4.7        ] medium a08 ok  picked=todoist_list_tasks
  [Opus 4.7        ] medium a09 ok  picked=drive_search_files
  [Opus 4.7        ] medium a10 ok  picked=drive_search_files
  [Opus 4.7        ] medium a02 ok  picked=slack_search_messages
  [Opus 4.7        ] medium a07 miss picked=linear_search_issues
  [Opus 4.7        ] large  s08 ok  picked=figma_search_design_system
  [Opus 4.7        ] large  s04 ok  picked=slack_search_messages
  [Opus 4.7        ] large  s06 ok  picked=github_search_code
  [Opus 4.7        ] large  s03 ok  picked=drive_search_files
  [Opus 4.7        ] large  s05 ok  picked=linear_search_issues
  [Opus 4.7        ] large  s01 ok  picked=notion_search
  [Opus 4.7        ] large  s07 ok  picked=github_search_issues
  [Opus 4.7        ] large  s02 ok  picked=gmail_search_threads
  [Opus 4.7        ] large  s10 ok  picked=todoist_list_tasks
  [Opus 4.7        ] large  s09 ok  picked=stripe_list_customers
  [Opus 4.7        ] large  c02 miss picked=notion_search
  [Opus 4.7        ] large  c05 ok  picked=slack_post_message
  [Opus 4.7        ] large  c01 ok  picked=gmail_create_draft
  [Opus 4.7        ] large  c04 miss picked=drive_search_files
  [Opus 4.7        ] large  c03 miss picked=calendar_suggest_time
  [Opus 4.7        ] large  c07 ok  picked=github_create_pr
  [Opus 4.7        ] large  c08 ok  picked=stripe_create_customer
  [Opus 4.7        ] large  c09 ok  picked=todoist_create_task
  [Opus 4.7        ] large  f01 ok  picked=notion_fetch
  [Opus 4.7        ] large  c10 miss picked=gmail_search_threads
  [Opus 4.7        ] large  f02 ok  picked=gmail_get_thread
  [Opus 4.7        ] large  c06 ok  picked=linear_create_issue
  [Opus 4.7        ] large  f03 ok  picked=calendar_get_event
  [Opus 4.7        ] large  f05 ok  picked=github_get_pr
  [Opus 4.7        ] large  u03 ok  picked=todoist_complete_task
  [Opus 4.7        ] large  u02 ok  picked=linear_update_issue
