query_id,category,model,first_tool,tool_correct,tool_in_any_of,param_score,latency_ms,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,cost_usd,error,justification
q01,clear_single,claude-opus-4-7,whoop_list_recoveries,true,true,4,2250,448,115,0,4607,0.101726,,Correct tool. Date range is slightly wider than needed for 'last night' but captures it; minor flaw in not narrowing to single day.
q02,clear_single,claude-opus-4-7,whoop_list_sleep,true,true,5,2214,447,114,4607,0,0.022166,,Correct tool with a one-night date range covering last night.
q03,clear_single,claude-opus-4-7,whoop_list_workouts,true,true,4,2214,449,114,4607,0,0.022195,,"Correct tool with a week-long date range. Dates are arbitrary without knowing 'today', but format and span are reasonable."
q04,clear_single,claude-opus-4-7,calendar_list_events,true,true,5,2028,447,122,4607,0,0.022766,,Correct tool with proper full-day time range for today.
q05,clear_single,claude-opus-4-7,todoist_filter_tasks,true,true,5,1574,450,70,4607,0,0.018911,,Correct tool with exact filter query 'today'.
q06,clear_single,claude-opus-4-7,todoist_filter_tasks,true,true,5,2235,447,72,4607,0,0.019016,,Correct tool with exact filter query 'overdue'.
q07,clear_single,claude-opus-4-7,notion_search,true,true,5,2029,453,69,4607,0,0.018881,,Correct tool with exact query 'Q2 plan'.
q08,clear_single,claude-opus-4-7,gmail_search,true,true,5,1770,452,72,4607,0,0.019090,,Correct tool with precise Gmail query using from:stripe and invoice keyword.
q09,clear_single,claude-opus-4-7,slack_send_message,true,true,4,1737,453,94,4607,0,0.020755,,Correct tool and message. Channel 'alice' is reasonable but ideally would resolve to a user ID via slack_list_users for a DM; minor arg imprecision.
q10,clear_single,claude-opus-4-7,todoist_filter_tasks,false,false,1,2098,454,89,4607,0,0.020396,,"Model searched for the task instead of closing it. While finding the ID first is reasonable, the gold expects a direct close action."
q11,clear_single,claude-opus-4-7,todoist_create_task,true,true,5,1997,454,99,4607,0,0.021145,,Correct tool with proper content and natural-language due date 'tomorrow'.
q12,clear_single,claude-opus-4-7,calendar_create_event,true,true,4,2893,466,178,4607,0,0.027250,,"Correct tool and attendees; start/end durations correct but dates given as natural language strings rather than ISO timestamps, a minor flaw."
q13,clear_single,claude-opus-4-7,calendar_suggest_time,true,true,5,2132,453,99,4607,0,0.021130,,Correct tool with 60-minute duration and 7-day horizon matching 'this week'.
q14,clear_single,claude-opus-4-7,slack_read_channel,true,true,5,1757,446,69,4607,0,0.018776,,Correct tool with proper channel argument.
q15,clear_single,claude-opus-4-7,slack_list_users,true,true,4,2482,458,88,4607,0,0.020380,,"Correct tool. Passed a 'query' arg to filter by name; tool schema lists users without documented query param, but intent is clear and usable."
q16,clear_single,claude-opus-4-7,calendar_list_events,true,true,4,2117,460,135,4607,0,0.023935,,"Listing events first to find the 3pm meeting is acceptable. Time window is slightly off (14:30-16:00 instead of centering on 15:00), but reasonable for locating the event."
q17,clear_single,claude-opus-4-7,whoop_list_recoveries,true,true,4,2762,450,131,4607,0,0.023485,,"Correct tool; reasonable ~2-week range for 'lately', though date math may not align with current date."
q18,clear_single,claude-opus-4-7,whoop_list_cycles,true,true,4,2621,448,120,4607,0,0.022631,,"Correct tool chosen. Date range covers a week, though actual 'this week' depends on current date; args are reasonable but may not match today's week exactly."
q19,clear_single,claude-opus-4-7,notion_search,true,true,3,1801,446,80,4607,0,0.019600,,Correct tool chosen. Query 'database' is a reasonable keyword but not ideal for filtering to database objects only; a type filter would be better. Usable but coarse.
q20,clear_single,claude-opus-4-7,NONE,false,false,0,4827,453,196,4607,0,0.028406,,Model asked clarifying questions instead of creating a draft. Could have created a draft with reasonable defaults and let user edit.
